Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,1594.95,1597.80,1565.05,1570.40,1576.518681893470490802,229420,15363,361684916.00,109486,47.72,32.75,-24.55
27-March-2025,1595.60,1620.00,1586.40,1603.55,1601.065904039990682271,158837,7952,254308505.00,81827,51.52,33.60,7.95
26-March-2025,1630.00,1637.80,1595.00,1598.15,1614.187208592155635995,134262,8644,216724003.00,56415,42.02,42.80,-31.85
25-March-2025,1603.00,1635.90,1603.00,1631.70,1626.587441960447119518,232600,10509,378344239.00,67992,29.23,32.90,28.70
24-March-2025,1598.30,1606.55,1572.55,1592.20,1587.758250764971586769,274520,16450,435871395.00,113010,41.17,34.00,-6.10
21-March-2025,1580.00,1603.55,1564.15,1592.60,1590.540062933484315625,91843,6399,146079971.00,31438,34.23,39.40,12.60
20-March-2025,1592.95,1631.00,1592.95,1614.15,1616.459960308255367406,155196,9060,250868120.00,71516,46.08,38.05,21.20
19-March-2025,1608.75,1608.75,1572.60,1586.55,1582.489008962490318297,108452,6426,171624098.00,40850,37.67,36.15,-22.20
18-March-2025,1596.30,1612.70,1582.05,1608.80,1601.157174902541542348,137751,11471,220561002.00,66390,48.20,30.65,12.50
17-March-2025,1555.00,1594.00,1551.00,1590.55,1582.409478241057188425,65835,5581,104177928.00,26525,40.29,43.00,35.55
13-March-2025,1597.50,1606.60,1571.00,1579.25,1585.687728301886792452,99375,5366,157577718.00,29302,29.49,35.60,-18.25
12-March-2025,1639.65,1639.65,1564.15,1589.60,1587.113170632346871499,186559,10570,296090246.00,64299,34.47,75.50,-50.05
11-March-2025,1682.95,1682.95,1637.05,1660.60,1655.208326542143408199,184062,13785,304660955.00,89984,48.89,45.90,-22.35
10-March-2025,1689.95,1718.80,1676.80,1702.75,1703.070028907066855280,81295,6063,138451078.00,28122,34.59,42.00,12.80
7-March-2025,1704.95,1704.95,1675.80,1685.75,1686.697963561652113484,66194,3915,111649285.00,24537,37.07,29.15,-19.20
6-March-2025,1718.65,1721.15,1691.00,1713.20,1705.151141749246014648,92840,8890,158306232.00,41774,45.00,30.15,-5.45
5-March-2025,1690.05,1732.30,1690.05,1710.80,1716.040629749240121580,126336,7014,216797709.00,71889,56.90,42.25,20.75
4-March-2025,1699.95,1699.95,1670.00,1689.70,1683.899630462724935732,124480,6967,209611826.00,57154,45.91,29.95,-10.25
3-March-2025,1688.40,1728.45,1688.40,1708.10,1710.822603125520872249,695948,13320,1190643569.00,594739,85.46,40.05,19.70
28-February-2025,1754.10,1754.45,1682.80,1688.05,1701.889071647123326435,113082,7785,192453020.00,45606,40.33,71.65,-66.05
27-February-2025,1758.20,1775.90,1751.15,1764.20,1764.739510445977240469,80318,5372,141740348.00,41112,51.19,24.75,6.00
25-February-2025,1751.50,1778.45,1749.15,1768.20,1767.620599382252274814,299475,13863,529358179.00,91236,30.47,29.30,16.70
24-February-2025,1809.80,1809.80,1750.00,1764.15,1772.192839634109886605,200716,16094,355707458.00,102116,50.88,59.80,-45.65
21-February-2025,1828.75,1828.75,1806.50,1815.15,1809.344395321195694433,900230,2860,1628826105.00,854920,94.97,22.25,-13.60
20-February-2025,1800.30,1830.50,1800.30,1823.45,1822.302152128874043380,118255,5483,215496341.00,82963,70.16,30.20,23.15
19-February-2025,1845.95,1848.90,1807.00,1810.80,1827.365477160964577799,76054,4479,138978454.00,47179,62.03,41.90,-35.15
18-February-2025,1840.60,1861.00,1838.00,1851.50,1846.790421782225060913,169092,6784,312277486.00,106120,62.76,23.00,10.90
17-February-2025,1848.00,1850.05,1823.00,1842.60,1838.032017515133936507,106879,2962,196447024.00,68463,64.06,27.05,-5.40
14-February-2025,1852.50,1859.00,1828.05,1856.30,1842.167336343115124153,132900,7462,244824039.00,76707,57.72,30.95,3.80
13-February-2025,1865.50,1873.50,1835.15,1843.25,1852.997183362436358040,149469,5998,276965636.00,87629,58.63,38.35,-22.25
12-February-2025,1876.85,1894.50,1846.25,1863.75,1866.366149877165005264,649652,9950,1212488502.00,563722,86.77,48.25,-13.10
11-February-2025,1879.30,1902.55,1869.70,1876.80,1879.355281811260360761,694809,8410,1305792964.00,560879,80.72,32.85,-2.50
10-February-2025,1908.50,1908.50,1878.25,1879.20,1884.734376146026375109,204511,7019,385448912.00,149835,73.26,30.25,-29.30
7-February-2025,1880.20,1921.00,1880.20,1902.75,1900.583365084740979072,141726,5713,269362078.00,75805,53.49,40.80,22.55
6-February-2025,1920.00,1922.65,1900.05,1915.95,1908.035161678433859670,107219,5607,204577622.00,63743,59.45,22.60,-4.05
5-February-2025,1907.90,1919.10,1894.55,1897.10,1903.838217799795915130,189137,12494,360086249.00,106261,56.18,24.55,-10.80
4-February-2025,1887.00,1911.40,1875.00,1899.25,1892.423500621483964163,386977,27294,732324369.00,173725,44.89,36.40,12.25
3-February-2025,1839.95,1876.50,1832.80,1863.85,1853.823857038078357068,130888,11192,242643297.00,45476,34.74,43.70,23.90
1-February-2025,1873.75,1889.95,1845.20,1851.90,1865.618710514440433212,70912,4625,132294754.00,,,44.75,-21.85
31-January-2025,1864.10,1896.15,1864.10,1880.05,1881.724886439454178205,218826,4982,411770330.00,168773,77.13,32.05,15.95
30-January-2025,1878.95,1885.95,1844.95,1859.85,1861.163102767798411172,98815,12724,183910832.00,40475,40.96,41.00,-19.10
29-January-2025,1838.55,1888.00,1838.55,1880.85,1862.982474545173801284,220194,19798,410217563.00,124292,56.45,49.45,42.30
28-January-2025,1822.30,1863.00,1822.30,1829.15,1844.609366820799162449,366784,23629,676573202.00,177539,48.40,40.70,6.85
27-January-2025,1850.00,1862.45,1812.90,1822.10,1841.558442395027001492,93143,5093,171528278.00,51481,55.27,49.55,-27.90
24-January-2025,1865.00,1894.85,1864.80,1875.15,1882.442568233773252799,273838,22066,515484308.00,194078,70.87,30.05,10.15
23-January-2025,1856.45,1879.50,1850.65,1864.80,1869.582839341212599936,135461,14824,253255561.00,62777,46.34,28.85,8.35
22-January-2025,1806.10,1865.40,1806.10,1856.60,1840.709978070175438596,142272,7822,261881490.00,44594,31.34,59.30,50.50
21-January-2025,1820.00,1831.85,1792.45,1799.80,1814.127135518101506329,504737,21972,915657088.00,91606,18.15,39.40,-20.20
20-January-2025,1822.40,1831.60,1793.20,1813.25,1808.165288799690670398,54311,3802,98203265.00,18587,34.22,38.40,-9.15
17-January-2025,1869.95,1869.95,1812.70,1815.10,1826.648813543443554021,256183,13134,467956373.00,98087,38.29,57.25,-54.85
16-January-2025,1962.40,1967.75,1917.75,1926.20,1941.397960083996541318,113338,7579,220034162.00,42097,37.14,50.00,-36.20
15-January-2025,1951.95,1957.90,1938.00,1949.80,1948.086688077277366992,40167,2037,78248798.00,16107,40.10,19.90,-2.15
14-January-2025,1960.05,1972.00,1931.25,1939.30,1943.078919656153014691,215561,9876,418852035.00,80945,37.55,40.75,-20.75
13-January-2025,1950.05,1982.55,1948.75,1961.80,1967.495677397743551732,140309,6978,276057351.00,44351,31.61,33.80,11.75
10-January-2025,1931.55,1977.00,1931.55,1966.70,1959.003854953849803506,320367,21477,627600188.00,170327,53.17,45.45,35.15
9-January-2025,1941.85,1952.00,1909.85,1917.80,1925.881826320501342882,272548,9765,524895240.00,165037,60.55,42.15,-24.05
8-January-2025,1922.05,1938.95,1888.30,1933.15,1906.853263544043305149,201177,10015,383615019.00,127424,63.34,50.65,11.10
7-January-2025,1938.45,1959.40,1924.40,1932.55,1932.769776499098885560,244697,17825,472942966.00,144228,58.94,35.00,-5.90
6-January-2025,1954.65,1972.95,1927.85,1937.85,1943.539892142000707785,189323,6191,367956803.00,96849,51.16,45.10,-16.80
3-January-2025,1957.45,1957.45,1922.20,1938.30,1936.104136426073317811,205298,9399,397478307.00,54289,26.44,35.25,-19.15
2-January-2025,1890.00,1962.05,1885.00,1957.65,1942.293760816966169265,232274,13053,451144341.00,123835,53.31,77.05,67.65
1-January-2025,1879.95,1892.10,1875.00,1882.65,1885.638761962715052276,180770,5519,340866919.00,133441,73.82,17.10,2.70
31-December-2024,1895.00,1895.30,1845.70,1880.70,1867.961655755702842272,49186,3340,91877562.00,10136,20.61,49.60,-14.30
30-December-2024,1916.00,1916.00,1886.45,1905.70,1901.441958270736568420,232307,9272,441718277.00,192828,83.01,29.55,-10.30
27-December-2024,1915.95,1924.00,1904.00,1916.55,1909.824825598116526543,299022,11539,571079639.00,205918,68.86,20.00,0.60
26-December-2024,1906.00,1920.90,1902.50,1906.20,1907.879649451886285943,294282,10000,561454639.00,233686,79.41,18.40,0.20
24-December-2024,1924.15,1941.75,1900.25,1909.30,1914.282843436623208801,225966,7259,432562837.00,181718,80.42,41.50,-14.85
23-December-2024,1927.15,1940.45,1909.25,1923.85,1924.992505369628467409,65647,3054,126369983.00,22073,33.62,31.20,-3.30
20-December-2024,1972.00,1981.65,1911.25,1922.05,1932.191448034795733947,251755,11565,486438858.00,57519,22.85,70.40,-49.95
19-December-2024,1939.35,1959.00,1921.00,1948.15,1938.670580110497237569,75296,4815,145974140.00,26244,34.85,38.00,8.80
18-December-2024,1965.05,1984.45,1962.15,1978.90,1975.307507926304435461,91783,5892,181299649.00,50490,55.01,22.30,13.85
17-December-2024,1970.00,1980.55,1959.00,1976.65,1972.508668283370311129,38762,2930,76458381.00,14518,37.45,21.55,6.65
16-December-2024,1990.30,1999.25,1977.40,1979.65,1987.855229695362805043,73924,5623,146950210.00,35144,47.54,21.85,-10.65
13-December-2024,1969.60,2006.80,1946.45,1999.85,1987.624627449264742071,182861,7583,363459027.00,77707,42.50,60.35,30.25
12-December-2024,1975.00,1998.65,1973.00,1986.75,1988.980141688777045323,109677,6437,218145375.00,42732,38.96,25.65,11.75
11-December-2024,1952.55,1977.55,1947.35,1968.70,1966.009120321035300442,208326,10446,409570816.00,118819,57.04,30.20,16.15
10-December-2024,1930.00,1965.00,1930.00,1948.70,1949.241314949413024716,192342,9433,374920973.00,104670,54.42,35.00,18.70
9-December-2024,1922.70,1930.90,1897.50,1925.30,1913.269459067798691676,122141,8117,233688645.00,57694,47.24,33.40,2.60
6-December-2024,1929.80,1936.10,1913.00,1923.20,1921.995884414005704615,125863,6787,241908168.00,26757,21.26,23.10,-6.60
5-December-2024,1900.50,1949.00,1889.25,1934.35,1922.046983029541169076,235468,13145,452580559.00,127055,53.96,59.75,33.85
4-December-2024,1886.95,1912.90,1874.10,1890.30,1895.981410416147520558,60195,3502,114128601.00,14024,23.30,38.80,3.35
3-December-2024,1880.50,1899.00,1872.00,1891.40,1889.233656562126903701,68682,2827,129756346.00,29716,43.27,27.00,10.90
2-December-2024,1850.10,1882.00,1836.00,1879.20,1865.416562151375097874,144317,8054,269211322.00,70968,49.18,46.00,29.10
29-November-2024,1855.35,1876.75,1845.65,1858.45,1860.059694887509992767,210152,10938,390895265.00,39907,18.99,31.10,3.10
28-November-2024,1918.95,1918.95,1852.55,1857.45,1871.249857084524295630,122450,6898,229134545.00,49536,40.45,66.40,-61.50
27-November-2024,1939.95,1940.65,1912.50,1924.10,1926.391516397271792955,53515,3299,103090842.00,17435,32.58,28.15,-15.85
26-November-2024,1901.45,1938.70,1899.15,1921.85,1927.035375408480648844,101596,5274,195779086.00,35372,34.82,39.55,20.40
25-November-2024,1910.50,1919.00,1882.20,1889.15,1892.066137057093378047,181895,8916,344157370.00,94704,52.07,36.80,-21.35
22-November-2024,1849.35,1913.90,1834.25,1902.95,1882.782430335510959850,383445,18595,721943509.00,140173,36.56,79.65,53.60
21-November-2024,1839.95,1866.60,1820.50,1834.20,1839.967529331341997131,134583,9705,247628350.00,51830,38.51,46.10,-5.75
19-November-2024,1822.05,1860.00,1822.05,1825.55,1839.912917741256703823,92671,5864,170506570.00,41997,45.32,37.95,3.50
18-November-2024,1863.95,1863.95,1795.75,1811.40,1814.466796338672768878,131100,6786,237876597.00,66906,51.03,68.20,-52.55
14-November-2024,1869.65,1876.05,1856.45,1864.00,1865.072227897366681612,216343,14314,403495321.00,49152,22.72,19.60,-5.65
13-November-2024,1865.95,1873.45,1857.00,1868.30,1866.731054562202885200,60793,4076,113484181.00,25496,41.94,16.45,2.35
12-November-2024,1863.00,1881.25,1861.10,1867.95,1871.512152373649546083,73031,4101,136678404.00,25477,34.89,20.15,4.95
11-November-2024,1820.55,1867.80,1820.55,1860.00,1852.709877253327504687,173854,11312,322101023.00,86537,49.78,47.25,39.45
8-November-2024,1815.95,1840.00,1813.10,1831.05,1831.648435147977014804,152794,7543,279864891.00,44030,28.82,26.90,15.10
7-November-2024,1819.85,1825.10,1786.65,1802.65,1805.028342128003824302,108778,7197,196347373.00,32218,29.62,38.45,-17.20
6-November-2024,1765.00,1827.00,1763.50,1824.30,1756.974676745765542134,2491228,7751,4377024510.00,2362466,94.83,63.50,59.30
5-November-2024,1763.75,1768.25,1745.10,1753.80,1753.963299802489550319,87084,7082,152742140.00,36381,41.78,23.15,-9.95
4-November-2024,1728.95,1768.25,1718.50,1764.90,1742.136190424196101981,183170,12641,319107086.00,75329,41.13,49.75,35.95
1-November-2024,1763.00,1766.30,1754.40,1761.60,1762.099176578225068618,16395,2210,28889616.00,8963,54.67,11.90,-1.40
31-October-2024,1797.00,1797.00,1747.20,1757.15,1759.455940554074792020,272382,14317,479244128.00,53219,19.54,49.80,-39.85
30-October-2024,1834.95,1839.85,1797.00,1801.75,1816.594299621145595503,79714,4763,144807998.00,29246,36.69,42.85,-33.20
29-October-2024,1847.00,1851.60,1828.90,1838.75,1840.229324967494900576,83833,6388,154271945.00,29504,35.19,22.70,-8.25
28-October-2024,1855.05,1881.10,1855.05,1866.25,1873.800981467452142154,176878,8051,331434170.00,130187,73.60,26.05,11.20
25-October-2024,1868.75,1876.00,1845.65,1853.25,1859.431185662717914577,298913,19155,555808154.00,98937,33.10,30.35,-15.50
24-October-2024,1872.05,1883.70,1860.10,1864.40,1866.415393939393939393,66000,3189,123183416.00,35763,54.19,23.60,-7.65
